iau_id,English,French
and,Andromeda,Andromède
ant,Antlia,Machine pneumatique
aps,Apus,Oiseau de paradis
aql,Aquila,Aigle
aqr,Aquarius,Verseau
ara,Ara,Autel
ari,Aries,Bélier
aur,Auriga,Cocher
boo,Bootes,Bouvier
cae,Caelum,Burin
cam,Camelopardalis,Girafe
cap,Capricornus,Capricorne
car,Carina,Carène
cas,Cassiopeia,Cassiopée
cen,Centaurus,Centaure
cep,Cepheus,Céphée
cet,Cetus,Baleine
cha,Chamaeleon,Caméléon
cir,Circinus,Compas
cma,Canis Major,Grand chien
cmi,Canis Minor,Petit chien
cnc,Cancer,Cancer
col,Columba,Colombe
com,Coma Berenices,Chevelure de Bérénice
cra,Corona Australis,Couronne australe
crb,Corona Borealis,Couronne boréale
crt,Crater,Coupe
cru,Crux,Croix du Sud
crv,Corvus,Corbeau
cvn,Canes Venatici,Chiens de chasse
cyg,Cygnus,Cygne
del,Delphinus,Dauphin
dor,Dorado,Dorade
dra,Draco,Dragon
equ,Equuleus,Petit cheval
eri,Eridanus,Éridan
for,Fornax,Fourneau
gem,Gemini,Gémeaux
gru,Grus,Grue
her,Hercules,Hercule
hor,Horologium,Horloge
hya,Hydra,Hydre femelle
hyi,Hydrus,Hydre mâle
ind,Indus,Indien (Oiseau)
lac,Lacerta,Lézard
leo,Leo,Lion
lep,Lepus,Lièvre
lib,Libra,Balance
lmi,Leo Minor,Petit Lion
lup,Lupus,Loup
lyn,Lynx,Lynx
lyr,Lyra,Lyre
men,Mensa,Table
mic,Microscopium,Microscope
mon,Monoceros,Licorne
mus,Musca,Mouche
nor,Norma,Règle
oct,Octans,Octant
oph,Ophiuchus,Serpentaire
ori,Orion,Orion
pav,Pavo,Paon
peg,Pegasus,Pégase
per,Perseus,Persée
phe,Phoenix,Phénix
pic,Pictor,Peintre (Chevalet du)
psa,Piscis Austrinus,Poisson austral
psc,Pisces,Poissons
pup,Puppis,Poupe
pyx,Pyxis,Boussole
ret,Reticulum,Réticule
scl,Sculptor,Sculpteur (Atelier du)
sco,Scorpius,Scorpion
sct,Scutum,Écu (de Sobieski)
ser1,Serpens Caput,Serpent (la tête)
ser2,Serpens Cauda,Serpent (la queue)
sex,Sextans,Sextant
sge,Sagitta,Flèche
sgr,Sagittarius,Sagitaire
tau,Taurus,Taureau
tel,Telescopium,Télescope
tra,Triangulum Australe,Triangle austral
tri,Triangulum,Triangle
tuc,Tucana,Toucan
uma,Ursa Major,Grande Ourse
umi,Ursa Minor,Petite Ourse
vel,Vela,Voiles
vir,Virgo,Vierge
vol,Volans,Poisson volant
vul,Vulpecula,Petit Renard
