English,French
star,étoile
deep sky object,objet du ciel profond
open cluster,amas ouvert
globular cluster,amas globulaire
nebula,nébuleuse
galaxy,galaxie
dark nebula,nébuleuse obscure
association of stars,amas d'étoiles
double star,étoile double
emission nebula,nébuleuse en émission
galaxy pair,paire de galaxies
galaxy triplet,triplet de galaxies
galaxy cluster,amas de galaxies
group of galaxies,groupes de galaxies
hii ionized region,région d'hydrogène ionisé
nova star,nova
planetary nebula,nébuleuse planétaire
reflection nebula,nébuleuse par réflexion
star cluster nebula,nébuleuse d’amas d’étoiles
supernova remnant,rémanent de supernova
unknown,inconnu
Mercury,Mercure
Venus,Venus
Mars,Mars
Jupiter,Jupiter
Saturn,Saturne
Uranus,Uranus
Neptune,Neptune
Pluto,Pluton
Sun,Soleil
Moon,Lune
North,Nord
East,Est
South,Sud
West,Ouest
Ecliptic,Écliptique
Celestial Equator,Équateur céleste
N (abbreviation for north),N
E (abbreviation for east),E
S (abbreviation for south),S
W (abbreviation for west),O
Milky Way,Voie lactée
