hip_id,English,French
13847,Acamar,Acamar
7588,Achernar,Achernar
3821,Achird,Achird
78820,Acrab,Acrab
60718,Acrux,Acrux
44066,Acubens,Acubens
50335,Adhafera,Adhafera
33579,Adhara,Adhara
6411,Adhil,Adhil
20889,Ain,Ain
92761,Ainalrami,Ainalrami
94481,Aladfar,Aladfar
90004,Alasia,Alasia
94141,Albaldah,Albaldah
102618,Albali,Albali
95947,Albireo,Albiréo
59199,Alchiba,Alchiba
65477,Alcor,Alcor
17702,Alcyone,Alcyone
21421,Aldebaran,Aldébaran
105199,Alderamin,Aldéramin
108085,Aldhanab,Aldhanab
83895,Aldhibah,Aldhibah
101421,Aldulfin,Aldulfin
106032,Alfirk,Alfirk
100064,Algedi,Algedi
1067,Algenib,Algenib
50583,Algieba,Algieba
14576,Algol,Algol
60965,Algorab,Algorab
31681,Alhena,Alhéna
62956,Alioth,Alioth
102488,Aljanah,Aljanah
67301,Alkaid,Alkaïd
75411,Alkalurops,Alkalurops
44471,Alkaphrah,Alkaphrah
115623,Alkarab,Alkarab
53740,Alkes,Alkes
23416,Almaaz,Almaaz
9640,Almach,Almach
109268,Alnair,Alnair
88635,Alnasl,Alnasl
26311,Alnilam,Alnilam
26727,Alnitak,Alnitak
80112,Alniyat,Alniyat
46390,Alphard,Alphard
76267,Alphecca,Alphecca
677,Alpheratz,Alpheratz
7097,Alpherg,Alpherg
83608,Alrakis,Alrakis
9487,Alrescha,Alrescha
86782,Alruba,Alruba
96100,Alsafi,Alsafi
41075,Alsciaukat,Alsciaukat
42913,Alsephina,Alsephina
98036,Alshain,Alshain
100310,Alshat,Alshat
97649,Altair,Altaïr
94376,Altais,Altais
46750,Alterf,Alterf
35904,Aludra,Aludra
55203,Alula Australis,Alula Australis
55219,Alula Borealis,Alula Borealis
92946,Alya,Alya
32362,Alzirr,Alzirr
29550,Amadioha,Amadioha
110003,Ancha,Ancha
13288,Angetenar,Angetenar
57820,Aniara,Aniara
2081,Ankaa,Ankaa
95771,Anser,Anser
80763,Antares,Antarès
99473,Antinous,Antinous
72845,Arcalís,Arcalís
69673,Arcturus,Arcturus
95294,Arkab Posterior,Arkab Posterior
95241,Arkab Prior,Arkab Prior
25985,Arneb,Arneb
93506,Ascella,Ascella
42911,Asellus Australis,Asellus Australis
42806,Asellus Borealis,Asellus Borealis
43109,Ashlesha,Ashlesha
45556,Aspidiske,Aspidiske
17579,Asterope,Astérope
80331,Athebyne,Athebyne
17448,Atik,Atik
17847,Atlas,Atlas
82273,Atria,Atria
41037,Avior,Avior
118319,Axólotl,Axólotl
13993,Ayeyarwady,Ayeyarwady
107136,Azelfafage,Azelfafage
13701,Azha,Azha
38170,Azmidi,Azmidi
73136,Baekdu,Baekdu
87108,Bake-eo (or Bake Eo),Bake-eo (or Bake Eo)
87937,Barnard's Star,Étoile de Barnard
8645,Baten Kaitos,Baten Kaitos
20535,Beemim,Beemim
19587,Beid,Beid
95124,Belel,Belel
6643,Bélénos,Bélénos
25336,Bellatrix,Bellatrix
27989,Betelgeuse,Beltégeuse
13209,Bharani,Bharani
48711,Bibhā,Bibhā
109427,Biham,Biham
107251,Bosona,Bosona
14838,Botein,Botein
73714,Brachium,Brachium
26380,Bubup,Bubup
12191,Buna,Buna
106786,Bunda,Bunda
30438,Canopus,Canopus
24608,Capella,Capella
746,Caph,Caph
36850,Castor,Castor
4422,Castula,Castula
86742,Cebalrai,Cébalraï
37284,Ceibo,Ceibo
17489,Celaeno,Céléno 
86796,Cervantes,Cervantes
53721,Chalawan,Chalawan
20894,Chamukuy,Chamukuy
61317,Chara,Chara
99894,Chechia,Chechia
54879,Chertan,Chertan
1547,Citadelle,Citadelle
33719,Citalá,Citalá
3479,Cocibolca,Cocibolca
43587,Copernicus,Copernicus
63125,Cor Caroli,Cor Caroli
80463,Cujam,Cujam
23875,Cursa,Cursa
100345,Dabih,Dabih
14879,Dalim,Dalim
102098,Deneb,Deneb
107556,Deneb Algedi,Deneb Algedi
57632,Denebola,Denebola
64241,Diadem,Diadem
54158,Dingolay,Dingolay
3419,Diphda,Diphda
66047,Dofida,Dofida
78401,Dschubba,Dschubba
54061,Dubhe,Dubhe
86614,Dziban,Dziban
114322,Ebla,Ebla
75458,Edasich,Edasich
17499,Electra,Électre
70755,Elgafar,Elgafar
29034,Elkurud,Elkurud
25428,Elnath,Elnath
87833,Eltanin,Eltanin
5529,Emiw,Emiw
107315,Enif,Enif
116727,Errai,Errai
90344,Fafnir,Fafnir
78265,Fang,Fang
97165,Fawaris,Fawaris
48615,Felis,Felis
2247,Felixvarela,Felixvarela
57370,Flegetonte,Flegetonte
113368,Fomalhaut,Fomalhaut
56508,Formosa,Formose
2920,Fulu,Fulu
113889,Fumalsamakah,Fumalsamakah
61177,Funi,Funi
30122,Furud,Furud
87261,Fuyue,Fuyue
61084,Gacrux,Gacrux
42446,Gakyid,Gakyid
107259,Garnet Star,Étoile grenat 
56211,Giausar,Giausar
59803,Gienah,Gienah
60260,Ginan,Ginan
36188,Gomeisa,Gomeïsa
87585,Grumium,Grumium
77450,Gudja,Gudja
94645,Gumala,Gumala
84405,Guniibuu,Guniibuu
68702,Hadar,Hadar
23767,Haedus,Haedus
9884,Hamal,Hamal
23015,Hassaleh,Hassaleh
26241,Hatysa,Hatysa
113357,Helvetios,Helvétios
66249,Heze,Heze
21109,Hoggar,Hoggar
112029,Homam,Homam
55174,Hunahpú,Hunahpú
80076,Hunor,Hunor
78104,Iklil,Iklil
47087,Illyrian,Illyrian
59747,Imai,Imai
84787,Inquill,Inquill
15578,Intan,Intan
46471,Intercrus,Intercrus
108375,Itonda,Itonda
72105,Izar,Izar
79374,Jabbah,Jabbah
37265,Jishui,Jishui
12706,Kaffaljidhma,Kaffaljidhma
47202,Kalausi,Kalausi
79219,Kamuy,Kamuy
69427,Kang,Kang
76351,Karaka,Karaka
90185,Kaus Australis,Kaus Australis
90496,Kaus Borealis,Kaus Borealis
89931,Kaus Media,Kaus Media
92895,Kaveh,Kaveh
19849,Keid,Keid
69974,Khambalia,Khambalia
104987,Kitalpha,Kitalpha
72607,Kochab,Kochab
12961,Koeia,Koeia
80816,Kornephoros,Kornephoros
61359,Kraz,Kraz
108917,Kurhah,Kurhah
62223,La Superba,La Superba
110130,Lang-Exster,Lang-Exster
82396,Larawag,Larawag
68002,Leepwal,Leepwal
85696,Lesath,Lesath
97938,Libertas,Libertas
66192,Liesma,Liesma
13061,Lilii Borea,Lilii Borea
110813,Lionrock,Lionrock
30860,Lucilinburhuc,Lucilinburhuc
30905,Lusitânia,Lusitânia
85693,Maasym,Maasym
52521,Macondo,Macondo
24003,Mago,Mago
28380,Mahasim,Mahasim
82651,Mahsati,Mahsati
17573,Maia,Maïa
80883,Marfik,Marfik
113963,Markab,Markab
45941,Markeb,Markeb
79043,Marsic,Marsic
112158,Matar,Matar
32246,Mebsuta,Mebsuta
59774,Megrez,Megrez
26207,Meissa,Meissa
34088,Mekbuda,Mekbuda
42556,Meleph,Meleph
28360,Menkalinan,Menkalinan
14135,Menkar,Menkar
68933,Menkent,Menkent
18614,Menkib,Menkib
53910,Merak,Merak
72487,Merga,Merga
94114,Meridiana,Meridiana
17608,Merope,Mérope
8832,Mesarthim,Mesarthim
45238,Miaplacidus,Miaplacidus
62434,Mimosa,Mimosa
42402,Minchir,Minchir
63090,Minelauva,Minelauva
25930,Mintaka,Mintaka
10826,Mira,Mira
5447,Mirach,Mirach
13268,Miram,Miram
15863,Mirfak,Mirfak
30324,Mirzam,Mirzam
14668,Misam,Misam
65378,Mizar,Mizar
72339,Mönch,Mönch
8796,Mothallah,Mothallah
22491,Mouhoun,Mouhoun
34045,Muliphein,Muliphein
67927,Muphrid,Muphrid
41704,Muscida,Muscida
103527,Musica,Musica
44946,Nahn,Nahn
39429,Naos,Naos
106985,Nashira,Nashira
40687,Násti,Násti
48235,Natasha,Natasha
73555,Nekkar,Nekkar
7607,Nembus,Nembus
5054,Nenque,Nenque
32916,Nervia,Nervia
33856,Nganurganity,Nganurganity
25606,Nihal,Nihal
74961,Nikawiy,Nikawiy
31895,Nosaxa,Nosaxa
92855,Nunki,Nunki
75695,Nusakan,Nusakan
13192,Nushagak,Nushagak
80838,Ogma,Ogma
93747,Okab,Okab
81266,Paikauhale,Paikauhale
100751,Peacock,Peacock
26634,Phact,Phact
58001,Phecda,Phecda
75097,Pherkad,Pherkad
99711,Phoenicia,Phoenicia
61394,Phyllon Kissinou,Phyllon Kissinou
40881,Piautos,Piautos
88414,Pincoya,Pincoya
82545,Pipirima,Pipirima
31685,Pipit,Pipit
17851,Pleione,Pléioné
116084,Poerava,Poerava
11767,Polaris,Étoile Polaire
104382,Polaris Australis,Polaris Australis
89341,Polis,Polis
37826,Pollux,Pollux
61941,Porrima,Porrima
53229,Praecipua,Praecipua
20205,Prima Hyadum,Prima Hyadum
37279,Procyon,Procyon
29655,Propus,Propus
70890,Proxima Centauri,Proxima Centauri
16537,Ran,Ran
17378,Rana,Rana
83547,Rapeto,Rapeto
48455,Rasalas,Rasalas
84345,Rasalgethi,Rasalgethi
86032,Rasalhague,Rasalhague
85670,Rastaban,Rastaban
39953,Regor,Regor
49669,Regulus,Régulus
5737,Revati,Revati
19780,Rhombus,Rhombus
24436,Rigel,Rigel
71683,Rigil Kentaurus,Rigil Kentaurus
81022,Rosalíadecastro,Rosalíadecastro
101769,Rotanev,Rotanev
6686,Ruchbah,Ruchbah
95347,Rukbat,Rukbat
84012,Sabik,Sabik
23453,Saclateni,Saclateni
110395,Sadachbia,Sadachbia
112748,Sadalbari,Sadalbari
109074,Sadalmelik,Sadalmelik
106278,Sadalsuud,Sadalsuud
100453,Sadr,Sadr
56572,Sagarmatha,Sagarmatha
27366,Saiph,Saiph
115250,Salm,Salm
106824,Sāmaya,Sāmaya
86228,Sargas,Sargas
84379,Sarin,Sarin
21594,Sceptrum,Sceptrum
113881,Scheat,Scheat
3179,Schedar,Schedar
20455,Secunda Hyadum,Secunda Hyadum
8886,Segin,Segin
71075,Seginus,Seginus
96757,Sham,Sham
55664,Shama,Shama
51624,Shaomin,Shaomin
79431,Sharjah,Sharjah
85927,Shaula,Shaula
92420,Sheliak,Sheliak
8903,Sheratan,Sheratan
95262,Sika,Sika
32349,Sirius,Sirius
111710,Situla,Situla
113136,Skat,Skat
104780,Solaris,Solaris
65474,Spica,Spica
111169,Stellio,Stellio
43674,Stribor,Stribor
101958,Sualocin,Sualocin
47508,Subra,Subra
44816,Suhail,Suhaïl
93194,Sulafat,Sulafat
69701,Syrma,Syrma
22449,Tabit,Tabit
57399,Taiyangshou,Taiyangshou
63076,Taiyi,Taiyi
44127,Talitha,Talitha
50801,Tania Australis,Tania Australis
50372,Tania Borealis,Tania Borealis
38041,Tapecue,Tapecue
97278,Tarazed,Tarazed
40526,Tarf,Tarf
17531,Taygeta,Taygeta
40167,Tegmine,Tegmine
30343,Tejat,Tejat
113288,Tengshe,Tengshe
98066,Terebellum,Terebellum
21393,Theemin,Theemin
68756,Thuban,Thuban
112122,Tiaki,Tiaki
98823,Tianfu,Tianfu
26451,Tianguan,Tianguan
62423,Tianyi,Tianyi
80687,Timir,Timir
7513,Titawin,Titawin
71681,Toliman,Toliman
58952,Tonatiuh,Tonatiuh
8198,Torcular,Torcular
17096,Tupi,Tupi
39757,Tureis,Tureis
47431,Ukdah,Ukdah
57291,Uklun,Uklun
77070,Unukalhai,Unukalhai
33856,Unurgunite,Unurgunite
71860,Uridim,Uridim
96078,Uruk,Uruk
91262,Vega,Vega
116076,Veritate,Veritate
63608,Vindemiatrix,Vindemiatrix
35550,Wasat,Wasat
27628,Wazn,Wazn
34444,Wezen,Wezen
5348,Wurren,Wurren
82514,Xamidimura,Xamidimura
91852,Xihe,Xihe
69732,Xuange,Xuange
79882,Yed Posterior,Yed Posterior
79593,Yed Prior,Yed Prior
85822,Yildun,Yildun
49637,Yunü,Yunü
60129,Zaniah,Zaniah
18543,Zaurak,Zaurak
57757,Zavijava,Zavijava
48356,Zhang,Zhang
15197,Zibal,Zibal
54872,Zosma,Zosma
72622,Zubenelgenubi,Zubenelgenubi
76333,Zubenelhakrabi,Zubenelhakrabi
74785,Zubeneschamali,Zubeneschamali
