iau_id,English,Lithuanian
and,Andromeda,Andromeda
ant,Antlia,Siurblys
aps,Apus,Rojaus Paukštis
aql,Aquila,Erelis
aqr,Aquarius,Vandenis
ara,Ara,Aukuras
ari,Aries,Avinas
aur,Auriga,Vežėjas
boo,Bootes,Jaučiaganis
cae,Caelum,Kaltas
cam,Camelopardalis,Žirafa
cap,Capricornus,Ožiaragis
car,Carina,Laivo Kilis
cas,Cassiopeia,Kasiopėja
cen,Centaurus,Kentauras
cep,Cepheus,Cefėjas
cet,Cetus,Banginis
cha,Chamaeleon,Chameleonas
cir,Circinus,Skriestuvas
cma,Canis Major,Didysis Šuo
cmi,Canis Minor,Mažasis Šuo
cnc,Cancer,Vėžys
col,Columba,Balandis
com,Coma Berenices,Berenikės Garbanos
cra,Corona Australis,Pietų Vainikas
crb,Corona Borealis,Šiaurės Vainikas
crt,Crater,Taurė
cru,Crux,Pietų Kryžius
crv,Corvus,Varnas
cvn,Canes Venatici,Medžiokliniai Šunys
cyg,Cygnus,Gulbė
del,Delphinus,Delfinas
dor,Dorado,Aukso Žuvis
dra,Draco,Slibinas
equ,Equuleus,Žirgelis
eri,Eridanus,Eridanas
for,Fornax,Krosnis
gem,Gemini,Dvyniai
gru,Grus,Gervė
her,Hercules,Herkulis
hor,Horologium,Laikrodis
hya,Hydra,Hidra
hyi,Hydrus,Pietų Hidra
ind,Indus,Indėnas
lac,Lacerta,Driežas
leo,Leo,Liūtas
lep,Lepus,Kiškis
lib,Libra,Svarstyklės
lmi,Leo Minor,Mažasis Liūtas
lup,Lupus,Vilkas
lyn,Lynx,Lūšis
lyr,Lyra,Lyra
men,Mensa,Stalas
mic,Microscopium,Mikroskopas
mon,Monoceros,Vienaragis
mus,Musca,Musė
nor,Norma,Matuoklė
oct,Octans,Oktantas
oph,Ophiuchus,Gyvatnešis
ori,Orion,Orionas
pav,Pavo,Povas
peg,Pegasus,Pegasas
per,Perseus,Persėjas
phe,Phoenix,Feniksas
pic,Pictor,Dailidė
psa,Piscis Austrinus,Pietų Žuvis
psc,Pisces,Žuvys 
pup,Puppis,Laivagalis
pyx,Pyxis,Kompasas
ret,Reticulum,Tinklas
scl,Sculptor,Skulptorius
sco,Scorpius,Skorpionas
sct,Scutum,Skydas
ser1,Serpens Caput,Gyvatė
ser2,Serpens Cauda,Gyvatės Uodega
sex,Sextans,Sekstantas
sge,Sagitta,Strėlė
sgr,Sagittarius,Šaulys
tau,Taurus,Jautis
tel,Telescopium,Teleskopas
tra,Triangulum Australe,Pietų Trikampis
tri,Triangulum,Trikampis
tuc,Tucana,Tukanas
uma,Ursa Major,Didieji Grįžulo Ratai
umi,Ursa Minor,Mažieji Grįžulo Ratai
vel,Vela,Burės
vir,Virgo,Mergelė
vol,Volans,Skraidančioji Žuvis
vul,Vulpecula,Laputė
