English,Lithuanian
star,žvaigždė
deep sky object,tolimojo kosmoso objektas
open cluster,padrikasis spiečius
globular cluster,kamuolinis spiečius
nebula,ūkas
galaxy,galaktika
dark nebula,tamsusis ūkas
association of stars,žvaigždžių asociacija
double star,dvinarė žvaigždė
emission nebula,emisinis ūkas
galaxy pair,galaktikų pora
galaxy triplet,galaktikų trejetas
galaxy cluster,galaktikų spiečius
group of galaxies,galaktikų grupė
hii ionized region,hii jonizuotas regionas
nova star,nova (žvaigždė)
planetary nebula,planetinis ūkas
reflection nebula,atspindžio ūkas
star cluster nebula,žvaigždžių spiečiaus ūkas
supernova remnant,supernovos liekana
unknown,nežinomas
Mercury,Merkurijus
Venus,Venera
Mars,Marsas
Jupiter,Jupiteris
Saturn,Saturnas
Uranus,Uranas
Neptune,Neptūnas
Pluto,Plutonas
Sun,Saulė
Moon,Mėnulis
North,Šiaurė
East,Rytai
South,Pietūs
West,Vakarai
Ecliptic,Ekliptika
Celestial Equator,Dangaus pusiaujas
N (abbreviation for north),Š
E (abbreviation for east),R
S (abbreviation for south),P
W (abbreviation for west),V
Milky Way,Paukščių Takas
