iau_id,English,zh-CN
and,Andromeda,仙女
ant,Antlia,唧筒
aps,Apus,天燕
aql,Aquila,天鷹
aqr,Aquarius,寶瓶
ara,Ara,天壇
ari,Aries,白羊
aur,Auriga,御夫
boo,Bootes,牧夫
cae,Caelum,雕具
cam,Camelopardalis,鹿豹
cap,Capricornus,摩羯
car,Carina,船底
cas,Cassiopeia,仙后
cen,Centaurus,半人馬
cep,Cepheus,仙王
cet,Cetus,鯨魚
cha,Chamaeleon,蝘蜓
cir,Circinus,圓規
cma,Canis Major,大犬
cmi,Canis Minor,小犬
cnc,Cancer,巨蟹
col,Columba,天鴿
com,Coma Berenices,后髮
cra,Corona Australis,南冕
crb,Corona Borealis,北冕
crt,Crater,巨爵
cru,Crux,南十字
crv,Corvus,烏鴉
cvn,Canes Venatici,獵犬
cyg,Cygnus,天鵝
del,Delphinus,海豚
dor,Dorado,劍魚
dra,Draco,天龍
equ,Equuleus,小馬
eri,Eridanus,波江
for,Fornax,天爐
gem,Gemini,雙子
gru,Grus,天鶴
her,Hercules,武仙
hor,Horologium,時鐘
hya,Hydra,長蛇
hyi,Hydrus,水蛇
ind,Indus,印第安
lac,Lacerta,蠍虎
leo,Leo,獅子
lep,Lepus,天兔
lib,Libra,天秤
lmi,Leo Minor,小獅
lup,Lupus,豺狼
lyn,Lynx,天貓
lyr,Lyra,天琴
men,Mensa,山案
mic,Microscopium,顯微鏡
mon,Monoceros,麒麟
mus,Musca,蒼蠅
nor,Norma,矩尺
oct,Octans,南極
oph,Ophiuchus,蛇夫
ori,Orion,獵戶
pav,Pavo,孔雀
peg,Pegasus,飛馬
per,Perseus,英仙
phe,Phoenix,鳳凰
pic,Pictor,繪架
psa,Piscis Austrinus,南魚
psc,Pisces,雙魚
pup,Puppis,船尾
pyx,Pyxis,羅盤
ret,Reticulum,網罟
scl,Sculptor,玉夫
sco,Scorpius,天蠍
sct,Scutum,盾牌
ser1,Serpens Caput,巨蛇頭
ser2,Serpens Cauda,巨蛇尾
sex,Sextans,六分儀
sge,Sagitta,天箭
sgr,Sagittarius,人馬
tau,Taurus,金牛
tel,Telescopium,望遠鏡
tra,Triangulum Australe,南三角
tri,Triangulum,三角
tuc,Tucana,杜鵑
uma,Ursa Major,大熊
umi,Ursa Minor,小熊
vel,Vela,船帆
vir,Virgo,室女
vol,Volans,飛魚

vul,Vulpecula,狐狸
